Field Name	Content	UC_ID	Target_Range
Use Case ID	UC-01	UC-01	A5:B25
Use Case Name	Register an Account	UC-01	A5:B25
Description	As a visitor, I want to register with my full name, email address, password, and password confirmation so that the application creates an authenticated user session.	UC-01	A5:B25
Actor(s)	Visitor	UC-01	A5:B25
Priority	Not Specified	UC-01	A5:B25
Trigger	The visitor opens the registration page or selects the Create an account link.	UC-01	A5:B25
Pre-Condition(s)	"PRE-1: The registration route (/register) is accessible to the visitor.
PRE-2: The backend and database services are operational."	UC-01	A5:B25
Post-Condition(s)	"POST-1: On success, a new user account is created and persisted, an authenticated session is established, and the user is redirected to the home page.
POST-2: On failure, no user account or authenticated session is created, and an appropriate error message is displayed."	UC-01	A5:B25
Basic Flow	"1. The visitor opens the registration page (/register).
2. The frontend displays the registration form (SignUpForm).
3. The visitor enters registration details: fullName, email, password, and confirmPassword.
4. The visitor submits the registration form.
5. The frontend performs preliminary validation on the submitted form fields.
6. The frontend sends the registration request (POST /api/auth/register) to the backend API.
7. The backend validates and processes the registration data according to established business rules.
8. Upon successful validation, the backend persists the new user account securely and generates an authenticated session.
9. The backend returns a successful response containing the authentication token and created user profile data.
10. The frontend establishes the authenticated user session and redirects the user to the home page (/)."	UC-01	A5:B25
Alternative Flow	"AF-1: Client-side validation failure
5a. If any submitted field fails preliminary validation, the frontend displays field-level error messages and halts form submission without calling the API.

AF-2: Registration conflict / Duplicate account
7a. If registration data conflicts with existing account policies (e.g., email already registered), the backend rejects the request and the frontend displays the returned error message."	UC-01	A5:B25
Exception Flow	"EF-1: Registration request failure
6a. If the registration request encounters an unexpected network or server error, the frontend displays a failure notification and remains on the registration form."	UC-01	A5:B25
Related UI	Register page; SignUpForm; route /register; AuthContext	UC-01	A5:B25
Related API IDs	API-AUTH-REGISTER	UC-01	A5:B25
Notes	Scope clarification: This use case covers email/password registration only. Google sign-up is outside scope.	UC-01	A5:B25
UML Model	"~~~plantuml
@startuml

class RegisterDto <<DTO>> {
  fullName: String [0..1]
  email: String [0..1]
  password: String [0..1]
  confirmPassword: String [0..1]
}

class User <<Entity>> {
  id: Integer [1]
  fullName: String [1]
  email: String [1]
  passwordHash: String [1]
}

class RegisteredUserDto <<DTO>> {
  id: Integer [1]
  fullName: String [1]
  email: String [1]
}

class RegisterDataDto <<DTO>> {
  accessToken: String [1]
  user: RegisteredUserDto [1]
}

class RegisterResponseDto <<DTO>> {
  success: Boolean [1]
  message: String [1]
  data: RegisterDataDto [0..1]
}

class AuthResponse <<DTO>> {
  success: Boolean
  user: User [0..1]
  accessToken: String [0..1]
}

class PasswordHasher <<Service>> {
  hash(password: String, rounds: Integer): String
  matches(password: String, hash: String): Boolean {query}
  cost(hash: String): Integer {query}
}

class AuthService <<Service>> {
  register(dto: RegisterDto): RegisterResponseDto
  isRegistrationInputValid(dto: RegisterDto): Boolean {query}
}

AuthService ..> RegisterDto
AuthService ..> RegisterResponseDto
AuthService ..> PasswordHasher

RegisterResponseDto --> RegisterDataDto
RegisterDataDto --> RegisteredUserDto
RegisteredUserDto ..> User : maps from

@enduml
~~~"	UC-01	A5:B25
